#Entity	Slot	SlotSuperEntityType
OrganismModel	hasAge	Age
OrganismModel	hasAgeCategory	AgeCategory
OrganismModel	hasGender	Gender
OrganismModel	hasOrganismSpecies	OrganismSpecies
OrganismModel	hasWeight	Weight
