AMFLTemplate,BigramTemplate,BMFLTemplate,BracketsTemplate,HMTemplate,IdentityTemplate,MentionsInSentenceTemplate,ML12Template,NormalizedAgeTemplate,NormalizedWeightTemplate,NumberMBTemplate,NumberWBTemplate,OverlappingTemplate,RootTypeTemplate,SimilarWordsTemplate,StartsWithCapitalTemplate,WBOTemplate,WBTemplate,WMTemplate,WordCountTemplate,WordsInBetweenTemplate,F1,TotalTime,TrainTime,TestTime,Alpha
X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,0.7766323024054982,1009612,953223,56389,0.001
X,X,X,X,X,X,X,,,,X,X,,X,,X,X,X,X,X,X,0.8178694158075601,972403,917728,54675,0.001
