#class	isLiteral
T5	false
T6	false
T7	false
T8	false
L1	false
T9	false
L2	false
L3	false
L4	false
L5	false
Vertebrae	false
T11	false
T10	false
T13	false
T12	false
VertebralLocation	false
Location	false
C1	false
C2	false
C3	false
C4	false
C5	false
VertebralArea	false
C6	false
C7	false
T1	false
T2	false
T3	false
T4	false
