#superClass	subClass
Vertebrae	T5
Vertebrae	T6
Vertebrae	T7
Vertebrae	T8
Vertebrae	L1
Vertebrae	T9
Vertebrae	L2
Vertebrae	L3
Vertebrae	L4
Vertebrae	L5
VertebralLocation	Vertebrae
Vertebrae	T11
Vertebrae	T10
Vertebrae	T13
Vertebrae	T12
Location	VertebralLocation
Vertebrae	C1
Vertebrae	C2
Vertebrae	C3
Vertebrae	C4
Vertebrae	C5
VertebralLocation	VertebralArea
Vertebrae	C6
Vertebrae	C7
Vertebrae	T1
Vertebrae	T2
Vertebrae	T3
Vertebrae	T4
