#class	isLiteral
ZeroSignificance	false
Lower	false
Slower	false
Faster	false
UnspecifiedDifference	false
SlowerDecrease	false
Trend	false
ObservedDifference	false
PValue	true
SlowerIncrease	false
SingleMeasureTrend	false
FasterDecrease	false
PositiveSignificance	false
None	false
NotPresent	false
RepeatedMeasureTrend	false
AlphaSignificanceNiveau	true
Present	false
Higher	false
Significance	false
FasterIncrease	false
